Affix,Unnamed: 0
2,1
ability,738
able,2912
ably,10
ac,17
acious,5
ade,17
adelic,6
age,295
aholic,45
ally,2214
an,2807
ate,889
ation,811
cidal,26
dom,366
el,6
er,666
esce,2
ette,159
fy,78
geddon,6
gyny,5
ic,3729
ical,605
ie,442
ify,206
ise,451
ish,1223
ist,5366
itude,20
ize,1477
like,2846
ling,303
ly,23003
mageddon,1
o,143
oid,1247
osis,306
otic,10
ous,1290
phyte,134
s,154
sexual,16
ship,698
sis,0
th,134
y,5337
