,Affix,Root Word,Full Word
213,ical,gemology,gemological
214,ical,genethlialogy,genethlialogical
215,ical,geology,geological
216,ical,geosophy,geosophical
217,ical,geosphere,geospherical
218,ical,gerontocrat,gerontocratical
219,ical,gerontology,gerontological
220,ical,ghostology,ghostological
221,ical,glaciology,glaciological
222,ical,glossography,glossographical
223,ical,glossology,glossological
224,ical,glottochronology,glottochronological
225,ical,glottology,glottological
226,ical,gnathology,gnathological
227,ical,granite,granitical
228,ical,graphology,graphological
229,ical,gynecology,gynecological
230,ical,hagiology,hagiological
231,ical,heart,heartical
232,ical,hegemony,hegemonical
233,ical,heliography,heliographical
234,ical,hemerology,hemerological
235,ical,henology,henological
236,ical,hepaticology,hepaticological
237,ical,hepatology,hepatological
238,ical,hero,heroical
239,ical,herpetology,herpetological
240,ical,heterarchy,heterarchical
241,ical,hieroglyph,hieroglyphical
242,ical,hierophany,hierophanical
243,ical,hippology,hippological
244,ical,histiology,histiological
245,ical,histology,histological
246,ical,historiography,historiographical
247,ical,historiosophy,historiosophical
248,ical,Hittitology,Hittitological
249,ical,hoax,hoaxical
250,ical,hobbyhorse,hobbyhorsical
251,ical,hodology,hodological
252,ical,homeology,homeological
253,ical,hoplology,hoplological
254,ical,horology,horological
255,ical,horometry,horometrical
256,ical,horoscope,horoscopical
257,ical,hyetology,hyetological
258,ical,hymenopterology,hymenopterological
259,ical,hypsometry,hypsometrical
260,ical,iamatology,iamatological
261,ical,ichnology,ichnological
262,ical,ichthyography,ichthyographical
263,ical,icon,iconical
264,ical,iconology,iconological
265,ical,ideology,ideological
266,ical,idiolect,idiolectical
267,ical,imagology,imagological
268,ical,immunology,immunological
269,ical,implantology,implantological
270,ical,index,indexical
271,ical,Indology,Indological
272,ical,infectiology,infectiological
273,ical,insectology,insectological
274,ical,instructology,instructological
275,ical,iridology,iridological
276,ical,Jacobite,Jacobitical
277,ical,Japanology,Japanological
278,ical,Josephology,Josephological
279,ical,karstology,karstological
280,ical,Kartvelology,Kartvelological
281,ical,karyology,karyological
282,ical,karyomorphology,karyomorphological
283,ical,Kibology,Kibological
284,ical,kinesiology,kinesiological
285,ical,laryngoscopy,laryngoscopical
286,ical,lepidopterology,lepidopterological
287,ical,levirate,leviratical
288,ical,lexicology,lexicological
289,ical,lichenography,lichenographical
290,ical,lichenology,lichenological
291,ical,limnology,limnological
292,ical,literaturology,literaturological
293,ical,lithograph,lithographical
294,ical,lithology,lithological
295,ical,liturgiology,liturgiological
296,ical,liturgist,liturgistical
297,ical,logology,logological
298,ical,logomachy,logomachical
299,ical,ludology,ludological
300,ical,ludomusicology,ludomusicological
301,ical,lymphology,lymphological
302,ical,magistrate,magistratical
303,ical,magnetology,magnetological
304,ical,majesty,majestical
305,ical,malacostracology,malacostratological
306,ical,malariology,malariological
307,ical,mammalogy,mammalogical
308,ical,Mariology,Mariological
309,ical,martyrology,martyrological
310,ical,Marxology,Marxological
311,ical,melissopalynology,melissopalynological
312,ical,mereology,mereological
313,ical,mesology,mesological
314,ical,metallurgy,metallurgical
315,ical,meteor,meteorical
316,ical,meteorology,meteorological
317,ical,metonym,metonymical
318,ical,metrology,metrological
319,ical,microscope,microscopical
320,ical,military,militarical
321,ical,minarchy,minarchical
322,ical,mineralogy,mineralogical
323,ical,missiology,missiological
324,ical,mixology,mixological
325,ical,molinology,molinological
326,ical,monarch,monarchical
327,ical,monody,monodical
328,ical,morphology,morphological
329,ical,museology,museological
330,ical,mycology,mycological
331,ical,myography,myographical
332,ical,myriapodology,myriapodological
333,ical,myrmecology,myrmecological
334,ical,mystoriography,mystoriographical
335,ical,myth,mythical
336,ical,narcissist,narcissistical
337,ical,narcology,narcological
338,ical,narratology,narratological
339,ical,necrology,necrological
340,ical,negarchy,negarchical
341,ical,nematology,nematological
342,ical,neology,neological
343,ical,neontology,neontological
344,ical,nephology,nephological
345,ical,netnography,netnographical
346,ical,neuropathology,neuropathological
347,ical,neuropterology,neuropterological
348,ical,neurotology,neurotological
349,ical,neurotomy,neurotomical
350,ical,node,nodical
351,ical,nomad,nomadical
352,ical,nomadology,nomadological
353,ical,nomology,nomological
354,ical,nonsense,nonsensical
355,ical,noology,noological
356,ical,nosography,nosographical
357,ical,nosology,nosological
358,ical,nostology,nostological
359,ical,numerology,numerological
360,ical,oceanography,oceanographical
361,ical,oceanology,oceanological
362,ical,odonatology,odonatological
363,ical,odontology,odontological
364,ical,oenology,oenological
365,ical,oncology,oncological
366,ical,onomasiology,onomasiological
367,ical,ontology,ontological
368,ical,oology,oological
369,ical,ophiology,ophiological
370,ical,ophthalmology,ophthalmological
371,ical,ophthalmoscope,ophthalmoscopical
372,ical,orchidology,orchidological
373,ical,orismology,orismological
374,ical,orthoepy,orthoepical
375,ical,orthopterology,orthopterological
376,ical,otology,otological
377,ical,oxytone,oxytonical
378,ical,palaeography,palaeographical
379,ical,paleanthropology,paleanthropological
380,ical,paleolimnology,paleolimnological
381,ical,paleontography,paleontographical
382,ical,palsy,palsical
383,ical,palynology,palynological
384,ical,pantology,pantological
385,ical,pantomime,pantomimical
386,ical,papyrology,papyrological
387,ical,paradox,paradoxical
388,ical,paradoxography,paradoxographical
389,ical,parasitology,parasitological
390,ical,paremiology,paremiological
391,ical,satire,parodical
392,ical,pathology,pathological
393,ical,patriology,patriological
394,ical,patriot,patriotical
